{timestamp: 2025-04-01 15:29:52, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 15:29:52, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 15:30:10, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 15:30:17, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 15:30:18, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 15:31:10, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 15:31:10, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 15:31:22, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 15:31:23, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 15:31:37, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 15:31:39, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 15:32:21, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 15:32:22, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 15:32:33, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 15:32:34, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 15:33:00, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 15:33:21, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 15:33:23, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 15:33:32, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 15:33:33, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 15:36:58, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 15:36:59, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 15:39:40, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 15:39:50, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 15:39:51, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 16:59:49, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
